"Category","TRANSFERRED SALES"
"Q3-2020",781
"Q4-2020",669
"Q1-2021",701
"Q2-2021",794
"Q3-2021",822
"Q4-2021",800
"Q1-2022",898
"Q2-2022",947
"Q3-2022",933
"Q4-2022",992
"Q1-2023",1049
"Q2-2023",998
"Q3-2023",1535
"Q4-2023",1350
"Q1-2024",1316
"Q2-2024",1301
"Q3-2024",1390
"Q4-2024",1437
"Q1-2025",1440
"Q2-2025",1429
"Q3-2025",1522
"Q4-2025",1707
"Q1-2026",
