"Category","TRANSFERRED SALES"
"Q3-2020",934
"Q4-2020",1014
"Q1-2021",1076
"Q2-2021",1219
"Q3-2021",1323
"Q4-2021",1319
"Q1-2022",1493
"Q2-2022",1551
"Q3-2022",
"Q4-2022",1665
"Q1-2023",1682
"Q2-2023",
"Q3-2023",
"Q4-2023",2140
"Q1-2024",2117
"Q2-2024",2154
"Q3-2024",2342
"Q4-2024",2372
"Q1-2025",2753
"Q2-2025",2957
"Q3-2025",2881
"Q4-2025",3145
"Q1-2026",
