"Category","TRANSFERRED SALES"
"Q3-2020",728
"Q4-2020",788
"Q1-2021",
"Q2-2021",
"Q3-2021",
"Q4-2021",
"Q1-2022",
"Q2-2022",
"Q3-2022",
"Q4-2022",
"Q1-2023",1274
"Q2-2023",
"Q3-2023",1440
"Q4-2023",1533
"Q1-2024",1620
"Q2-2024",1686
"Q3-2024",1821
"Q4-2024",1883
"Q1-2025",2001
"Q2-2025",2109
"Q3-2025",2107
"Q4-2025",2139
"Q1-2026",2291
