"Category","TRANSFERRED SALES"
"Q3-2020",788
"Q4-2020",807
"Q1-2021",888
"Q2-2021",998
"Q3-2021",1094
"Q4-2021",1181
"Q1-2022",1198
"Q2-2022",1257
"Q3-2022",1229
"Q4-2022",1267
"Q1-2023",1395
"Q2-2023",1423
"Q3-2023",1460
"Q4-2023",1610
"Q1-2024",1746
"Q2-2024",1708
"Q3-2024",1914
"Q4-2024",1922
"Q1-2025",2108
"Q2-2025",2163
"Q3-2025",2261
"Q4-2025",2283
"Q1-2026",
