"Category","TRANSFERRED SALES"
"Q3-2020",935
"Q4-2020",913
"Q1-2021",963
"Q2-2021",1066
"Q3-2021",1042
"Q4-2021",1105
"Q1-2022",1060
"Q2-2022",1063
"Q3-2022",1121
"Q4-2022",1138
"Q1-2023",1167
"Q2-2023",1138
"Q3-2023",1226
"Q4-2023",1417
"Q1-2024",1498
"Q2-2024",1463
"Q3-2024",1523
"Q4-2024",1473
"Q1-2025",1525
"Q2-2025",1408
"Q3-2025",1559
"Q4-2025",1655
"Q1-2026",
