"Category","TRANSFERRED SALES"
"Q3-2020",663
"Q4-2020",991
"Q1-2021",889
"Q2-2021",1001
"Q3-2021",1155
"Q4-2021",1069
"Q1-2022",1054
"Q2-2022",1265
"Q3-2022",1426
"Q4-2022",1182
"Q1-2023",1282
"Q2-2023",1496
"Q3-2023",1461
"Q4-2023",1013
"Q1-2024",1316
"Q2-2024",1731
"Q3-2024",1659
"Q4-2024",1764
"Q1-2025",1732
"Q2-2025",1658
"Q3-2025",1467
"Q4-2025",2041
"Q1-2026",
