"Category","TRANSFERRED SALES"
"Q3-2020",8684
"Q4-2020",10540
"Q1-2021",11971
"Q2-2021",13142
"Q3-2021",14302
"Q4-2021",14675
"Q1-2022",16142
"Q2-2022",17889
"Q3-2022",17585
"Q4-2022",16286
"Q1-2023",18922
"Q2-2023",24779
"Q3-2023",27072
"Q4-2023",31974
"Q1-2024",22210
"Q2-2024",29155
"Q3-2024",28475
"Q4-2024",33480
"Q1-2025",29974
"Q2-2025",31273
"Q3-2025",31782
"Q4-2025",38237
"Q1-2026",
